fit_time,win_length_sec,weights,thresh,seed,sample,n_mfcc,max_points,hop_length_sec,distance,alpha,mean_auc,std_auc,rank,mean_train_auc,std_train_auc
0.576860268910726,0.2888888888888889,"(1, 1)",1666.6666666666667,28,13,10,250,0.5,<function wasserstein at 0x7d55b84b4ae0>,0.4666666666666667,0.949277038750723,0.03636214224850438,1,0.9454483787817121,0.020460703835790666
2.6469415028889975,0.2888888888888889,"(1, 1)",1000.0,28,18,10,200,0.4111111111111111,<function wasserstein at 0x7d55b84b4ae0>,0.6833333333333333,0.9388953152111047,0.051923219864257776,2,0.9601060462171573,0.019168827091997166
2.6561005115509033,0.37777777777777777,"(1, 2)",1666.6666666666667,28,13,15,250,0.5,<function wasserstein at 0x7d55b84b4ae0>,0.6111111111111112,0.9377289377289376,0.047548553061344964,3,0.9480712702934925,0.030081048054863144
3.273698409398397,0.2888888888888889,"(1, 1)",1444.4444444444443,28,18,15,150,0.5,<function wasserstein at 0x7d55b84b4ae0>,0.7555555555555556,0.9377289377289376,0.04754855306134496,3,0.9621885316329761,0.02050854913849238
7.059515158335368,0.9111111111111112,"(1, 1)",2333.3333333333335,28,18,10,250,0.2777777777777778,<function wasserstein at 0x7d55b84b4ae0>,0.6111111111111112,0.9355263157894737,0.03866366660161626,5,0.9544498711165378,0.01894927002542661
1.8610191345214844,1.0,"(2, 1)",3000.0,28,17,10,150,0.5,<function wasserstein at 0x7d55b84b4ae0>,0.4666666666666667,0.9232118758434548,0.03972936410845413,6,0.9607188079410302,0.01808644608311331
4.012458721796672,0.4666666666666667,"(1, 2)",1666.6666666666667,28,12,20,100,0.4555555555555556,<function wasserstein at 0x7d55b84b4ae0>,0.7555555555555556,0.9214526701368807,0.012636151210207992,7,0.9355876633654411,0.017404325592989267
3.343803962071737,1.0,"(1, 2)",1000.0,28,10,10,200,0.32222222222222224,<function wasserstein at 0x7d55b84b4ae0>,0.3944444444444445,0.9119529593213803,0.06380897033337558,8,0.9043142043142044,0.03243128459407758
2.739580233891805,0.2,"(2, 1)",2111.1111111111113,28,11,15,100,0.3666666666666667,<function wasserstein at 0x7d55b84b4ae0>,0.6111111111111112,0.9111095045305572,0.07009750584785945,9,0.9057986252430696,0.019303747336836635
6.631357431411743,0.2,"(2, 1)",1222.2222222222222,28,10,15,200,0.4111111111111111,<function wasserstein at 0x7d55b84b4ae0>,0.9,0.9109841912473492,0.07247812673532648,10,0.9201193867860535,0.037537892427464345
5.538859923680623,0.4666666666666667,"(1, 2)",1444.4444444444443,28,19,10,200,0.4111111111111111,<function wasserstein at 0x7d55b84b4ae0>,0.8277777777777778,0.9097551571235782,0.06954536032714066,11,0.9194919278252612,0.034311482435616394
0.571104367574056,0.8222222222222222,"(1, 1)",2555.5555555555557,28,13,10,100,0.5,<function wasserstein at 0x7d55b84b4ae0>,0.4666666666666667,0.9032244071717755,0.04071843553350108,12,0.894511147288925,0.04694624160060117
7.010821183522542,0.37777777777777777,"(1, 2)",1444.4444444444443,28,19,15,150,0.2777777777777778,<function wasserstein at 0x7d55b84b4ae0>,0.6111111111111112,0.9020050125313284,0.0816988789223465,13,0.9061988423099533,0.030861899102223787
4.723122437795003,0.4666666666666667,"(1, 1)",2777.777777777778,28,17,20,200,0.4111111111111111,<function wasserstein at 0x7d55b84b4ae0>,0.6833333333333333,0.9018363215731636,0.04668494077323777,14,0.948893185004296,0.017128517719040864
3.4951870441436768,0.2,"(2, 1)",1666.6666666666667,28,11,20,150,0.5,<function wasserstein at 0x7d55b84b4ae0>,0.6833333333333333,0.9013880855986119,0.05922905676464974,15,0.9212205489983267,0.0218959524716804
0.5639442602793375,0.2,"(1, 2)",1444.4444444444443,28,13,20,100,0.5,<function wasserstein at 0x7d55b84b4ae0>,0.32222222222222224,0.8985685367264314,0.08212788115169083,16,0.9008400036177814,0.04461277191793069
1.5803155899047852,0.8222222222222222,"(1,)",2111.1111111111113,28,14,10,150,0.4111111111111111,<function wasserstein at 0x7d55b84b4ae0>,0.4666666666666667,0.894866975130133,0.07625100046032934,17,0.8778444806222584,0.0011088922775397071
