fit_time,weights,thresh,tau,stride,seed,sample,max_points,distance,dim,alpha,mean_auc,std_auc,rank,mean_train_auc,std_train_auc
1.1547354857126872,"(1, 1)",1.2722222222222221,4,4,28,40,140,<function wasserstein at 0x00000182A936D3A0>,2,0.5788888888888889,0.8701214655515731,0.008283109594360653,1,0.8613534872789236,0.011133084804507769
0.7412393093109131,"(1,)",1.2722222222222221,4,4,28,30,170,<function wasserstein at 0x00000182A936D3A0>,2,0.8255555555555556,0.8690959776981283,0.021599220733414727,2,0.8809186301584505,0.016308281043688866
1.2531026204427083,"(2, 1)",1.0166666666666666,4,4,28,30,150,<function wasserstein at 0x00000182A936D3A0>,2,0.9077777777777778,0.8627439267224212,0.014571975681674945,3,0.8640000391719059,0.015749595711990423
0.6891061464945475,"(1,)",0.5055555555555555,16,3,28,30,170,<function wasserstein at 0x00000182A936D3A0>,2,0.5788888888888889,0.8543707686180805,0.022501784171166786,4,0.8730781283663357,0.005819479876519818
1.6778920491536458,"(1, 1)",1.1444444444444444,2,4,28,20,170,<function wasserstein at 0x00000182A936D3A0>,2,0.41444444444444445,0.8541517323775388,0.036698723662018054,5,0.8519656952034,0.012058919669271891
0.6854895750681559,"(1,)",1.4,16,3,28,30,150,<function wasserstein at 0x00000182A936D3A0>,2,0.6611111111111111,0.8526085225009957,0.017120460157789345,6,0.87442588675402,0.004055124150505723
0.44727476437886554,"(1,)",1.4,16,3,28,20,100,<function wasserstein at 0x00000182A936D3A0>,2,0.5788888888888889,0.8485862206292314,0.018994182279508998,7,0.8539034804238401,0.006610298112597009
0.5488459269205729,"(1,)",0.8888888888888888,2,4,28,30,140,<function wasserstein at 0x00000182A936D3A0>,2,0.5788888888888889,0.8429908403026684,0.024086168345602232,8,0.8593691854202167,0.01627018818963228
1.3536183039347331,"(2, 1)",0.5055555555555555,2,3,28,30,160,<function wasserstein at 0x00000182A936D3A0>,2,0.3322222222222222,0.8361808044603743,0.019001132374925737,9,0.8400709011496955,0.01270036589116858
1.0621280670166016,"(1,)",1.4,4,1,28,40,150,<function wasserstein at 0x00000182A936D3A0>,2,0.5788888888888889,0.8331441656710473,0.03247966143000723,10,0.8161870556436922,0.013304916273777785
0.9491821130116781,"(2, 1)",0.5055555555555555,16,2,28,30,120,<function wasserstein at 0x00000182A936D3A0>,2,0.3322222222222222,0.8299183592194345,0.013589521108251052,11,0.8444985506394813,0.003354388845302879
0.5000364780426025,"(1,)",0.7611111111111111,8,3,28,40,110,<function wasserstein at 0x00000182A936D3A0>,2,0.6611111111111111,0.8252289924332935,0.016930071777386937,12,0.8261844605049259,0.007887208325658786
0.9011552333831787,"(1,)",1.1444444444444444,2,2,28,40,170,<function wasserstein at 0x00000182A936D3A0>,2,0.41444444444444445,0.8148446833930705,0.04506733967797343,13,0.8143459760659654,0.007999183682212703
1.5571645100911458,"(2, 1)",0.6333333333333333,8,1,28,30,140,<function wasserstein at 0x00000182A936D3A0>,2,0.9077777777777778,0.8138988450816408,0.019481417475826282,14,0.8235599428090175,0.014514129437364172
0.6573629379272461,"(1,)",0.7611111111111111,4,2,28,30,130,<function wasserstein at 0x00000182A936D3A0>,2,0.9077777777777778,0.8117682198327362,0.021772698019515868,15,0.819837387625595,0.018208217391945922
0.5084196726481119,"(1,)",1.4,4,3,28,20,120,<function wasserstein at 0x00000182A936D3A0>,2,0.5788888888888889,0.810284747112704,0.026422111161118002,16,0.8254487631470709,0.018487507165168563
1.0544881025950115,"(2, 1)",0.7611111111111111,8,2,28,30,120,<function wasserstein at 0x00000182A936D3A0>,2,0.41444444444444445,0.8095977698128235,0.008298425440134163,17,0.8067147991460525,0.007184994413800327
0.4941394329071045,"(1,)",0.7611111111111111,2,3,28,30,110,<function wasserstein at 0x00000182A936D3A0>,2,0.4966666666666667,0.8048984468339307,0.026778109097993077,18,0.8279594374914311,0.017102702363103937
1.182287057240804,"(1, 2)",1.0166666666666666,8,2,28,20,130,<function wasserstein at 0x00000182A936D3A0>,2,0.41444444444444445,0.8042712066905615,0.02072797556566184,19,0.7913667567620504,0.01012665049041164
0.5004928112030029,"(1,)",1.2722222222222221,4,3,28,20,110,<function wasserstein at 0x00000182A936D3A0>,2,0.7433333333333334,0.8039326961369971,0.0270280799660333,20,0.820461689876021,0.0170599559050417
1.93209441502889,"(1, 2)",0.8888888888888888,8,3,28,40,170,<function wasserstein at 0x00000182A936D3A0>,4,0.99,0.8013241736360014,0.015732517334203285,21,0.7917168556711127,0.014145156319620981
0.7080590724945068,"(1,)",1.0166666666666666,4,4,28,40,150,<function wasserstein at 0x00000182A936D3A0>,4,0.6611111111111111,0.800537634408602,0.017928313979067842,22,0.7963342440801457,0.011914274673590627
0.701515277226766,"(1,)",1.0166666666666666,4,2,28,20,140,<function wasserstein at 0x00000182A936D3A0>,2,0.41444444444444445,0.7977200318598169,0.018741611918035948,23,0.8106136279060658,0.017616780451328508
1.0415271917978923,"(1,)",0.6333333333333333,2,1,28,40,160,<function wasserstein at 0x00000182A936D3A0>,2,0.8255555555555556,0.7975308641975308,0.050969515006262005,24,0.8001645220048181,0.00826287504363814
0.769822915395101,"(2, 1)",0.6333333333333333,16,4,28,20,100,<function wasserstein at 0x00000182A936D3A0>,4,0.4966666666666667,0.79705296694544,0.025143422082876035,25,0.7738263117691991,0.008357391046664964
0.6285828749338785,"(2, 1)",0.25,4,2,28,40,100,<function wasserstein at 0x00000182A936D3A0>,2,0.5788888888888889,0.7962962962962964,0.006638623288797131,26,0.7935738488356151,0.020508639521322324
